train/entropy_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,time/time_elapsed,train/value_loss,train/clip_fraction,time/iterations,rollout/ep_rew_mean,train/loss,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/approx_kl,time/fps
-1.015720808878541,0.2,217088,-0.0015336218712036498,114,892.8625121116638,0.00048828125,212,-34.702347249999995,397.3789367675781,0.22732502222061157,844,0.0003,296.84,0.0025173833,1903
-1.0390714751556516,0.2,221184,-0.004344850647612475,116,630.1796641349792,0.010009765625,216,-42.467516890000006,296.2854919433594,0.32134127616882324,860,0.0003,295.31,0.0040612705,1904
-1.1127713918685913,0.2,225280,-0.0027869561745319515,118,143.04808190464973,0.017333984375,220,-39.81942292,59.05332946777344,0.07753646373748779,876,0.0003,320.9,0.007417912,1904
-1.071977799758315,0.2,229376,-0.002611411429825239,120,312.6725218296051,0.001220703125,224,-40.87802817,153.447021484375,0.5288342237472534,892,0.0003,314.1,0.0028669508,1904
-1.0567795149981976,0.2,233472,-0.002881701286241878,122,283.8599736690521,0.02392578125,228,-35.639624039999994,93.3179931640625,0.4573659300804138,908,0.0003,332.4,0.006191882,1905
-1.002048666588962,0.2,237568,-0.0039628856065974105,124,196.42381405830383,0.008544921875,232,-26.911193240000003,82.17662048339844,0.6196080446243286,924,0.0003,358.13,0.004781046,1905
-1.0718793366104364,0.2,241664,-0.0031547943071927875,126,126.61245289444923,0.00927734375,236,-18.372182959999996,21.982242584228516,0.6015131175518036,940,0.0003,391.17,0.0019848899,1905
-0.960204727947712,0.2,245760,0.0012461776204872876,128,516.133517742157,0.0,240,-17.826996740000002,261.45220947265625,0.3962959051132202,956,0.0003,415.2,0.00053108047,1905
-1.047649148851633,0.2,249856,-0.0027910480966966134,131,202.8635432124138,0.006103515625,244,-18.060021199999998,58.606529235839844,0.4271726608276367,972,0.0003,417.51,0.0021504955,1906
-0.912102053873241,0.2,253952,-0.0021601277840090916,133,941.6086664199829,0.001220703125,248,-17.42701486,438.9732666015625,0.40606409311294556,988,0.0003,412.74,0.0022224376,1906
-0.9635714739561081,0.2,258048,-0.0029110799951013178,135,300.6910319328308,0.013916015625,252,-24.23797247,100.32864379882812,0.32646888494491577,1004,0.0003,406.13,0.0045902114,1907
-0.756372595205903,0.2,262144,-0.00011591497604968026,137,109.74717211723328,0.00146484375,256,-21.8276094,64.14732360839844,0.7047380805015564,1020,0.0003,412.49,0.0018354212,1907
-0.898142877034843,0.2,266240,-0.005263488135824446,139,494.9994316101074,0.026611328125,260,-18.57264308,207.58938598632812,0.5311881303787231,1036,0.0003,438.56,0.006074857,1907
-1.0682663023471832,0.2,270336,-0.0018952402897411957,141,172.69266146421432,0.003173828125,264,-16.519601210000005,63.233741760253906,0.29523569345474243,1052,0.0003,434.47,0.005717862,1907
-0.9583401186391711,0.2,274432,-0.0024890555650927126,143,428.635990858078,0.004150390625,268,-16.45900074,237.5831298828125,0.5697991251945496,1068,0.0003,438.19,0.0036220606,1908
-0.9553363118320704,0.2,278528,-0.0010006598677136935,145,452.0082006454468,0.000244140625,272,-26.538511209999996,205.65573120117188,0.08472377061843872,1084,0.0003,437.1,0.0011662166,1908
-0.9616482388228178,0.2,282624,-0.005618657152808737,148,138.33984303474426,0.061767578125,276,-40.638780180000005,71.09126281738281,0.15531867742538452,1100,0.0003,420.57,0.0074307513,1909
-0.9296034416183829,0.2,286720,-0.000887894922925625,150,160.50023794174194,0.008544921875,280,-44.4839556,79.09768676757812,0.3119542598724365,1116,0.0003,409.72,0.0028593962,1909
-0.9645630875602365,0.2,290816,-0.0001256024552276358,152,533.3624248504639,0.0,284,-46.41183328,429.883544921875,0.42734384536743164,1132,0.0003,400.06,0.00025282445,1910
